GEO_ID,NAME,P_Total_HH_SingleFamily,P_Total_HH_W.MinorsSingleFamily,P_Total_IAP_B,P_Total_IAP_W,P_Total_IBP_B,P_Total_IBP_W,Male_FT_Median_Earnings,Female_FT_Median_Earnings,Male_FT_Median_Earnings_B,Female_FT_Median_Earnings_B,Male_FT_Median_Earnings_W,Female_FT_Median_Earnings_W,Male_Other_Median_Earnings,Female_Other_Median_Earnings,Male_Other_Median_Earnings_B,Female_Other_Median_Earnings_B,Male_Other_Median_Earnings_W,Female_Other_Median_Earnings_W,Total_Unemployment_Rate,P_Total_Car_truck_van_B,P_Total_Car_truck_van_W,P_Total_HHOnSNAP_W.MinorsSingleFamily
0500000US28001,"Adams County, Mississippi",28.36041359,17.98592406,58.52272727,77.68588137,41.47727273,22.31411863,35337,31231,30082,27456,42075,35431,8365,11019,7836,9739,9469,12519,10.94036497,95.8571974,90.99157485,17.98592406
0500000US28003,"Alcorn County, Mississippi",16.60647359,8.919931857,68.34446565,83.42964784,31.65553435,16.57035216,37530,31263,25958,24554,38322,32187,7733,11072,NA,8149,7245,12132,8.584059929,98.79057925,96.2602783,8.919931857
0500000US28005,"Amite County, Mississippi",16.33960753,8.229875851,66.52032831,84.80111654,33.47967169,15.19888346,38080,24259,31947,19649,50598,27028,7351,7221,5238,9563,11544,6178,10.83676269,91.3340935,94.55501314,8.229875851
0500000US28007,"Attala County, Mississippi",27.13967103,16.09980485,59.10808768,92.02620968,40.89191232,7.973790323,38510,28125,28016,24130,45686,31692,9287,8188,7519,8077,11554,8324,10.32522475,91.90019194,94.89874391,16.09980485
0500000US28009,"Benton County, Mississippi",19.96621622,9.189189189,75.74552684,84.52928243,24.25447316,15.47071757,41272,28015,40234,24386,43194,28397,11259,11673,10752,NA,20694,8750,13.72491145,93.92097264,95.46726357,9.189189189
0500000US28011,"Bolivar County, Mississippi",31.53175185,21.4559387,53.54384593,82.32911893,46.45615407,17.67088107,37696,26961,28341,23686,51080,35927,7718,7681,8156,8462,7601,7240,12.59536042,95.6174622,93.07139839,21.4559387
0500000US28013,"Calhoun County, Mississippi",22.87715701,13.99282419,64.74047558,78.73118729,35.25952442,21.26881271,35361,29876,28125,27165,40486,32534,13080,9110,8708,6100,14866,10225,8.394287705,96.95467422,95.13590844,13.99282419
0500000US28015,"Carroll County, Mississippi",12.19376392,6.959910913,75.24871872,91.6933883,24.75128128,8.306611696,56111,33760,44167,25196,57083,37243,NA,8229,NA,8200,2500,8274,7.039800995,95.88014981,97.52747253,6.959910913
0500000US28017,"Chickasaw County, Mississippi",23.7527115,15.13789898,66.84346525,84.28352993,33.15653475,15.71647007,33910,27280,30993,27611,36779,27143,16731,6629,13438,5468,22724,8359,7.614352232,98.76113047,94.93540052,15.13789898
0500000US28019,"Choctaw County, Mississippi",15.91619762,8.255159475,58.58178888,83.17221625,41.41821112,16.82778375,37679,30691,26075,18950,40952,33457,8723,7321,8413,2500,7857,11111,10.39952996,94.28152493,93.68974584,8.255159475
