Category,Name,NameInCSV,Data Source,Abbreviation,Type,Universe,Gender,Race,Gender and Race,Description
Demographics,Population Estimates,Population,"U.S. Census Bureau - General: B01001, Black: B01001B, White: B01001A",POP,E,I,1,1,1,"Population stimates of urban and rural population, housing units, and characteristics reflect boundaries of urban areas defined based on Census 2010 data"
Demographics,Single households,HH_Family,"U.S. Census Bureau - S1101, Black: B11001B, White: B11001A",HHSINGLE,P,H,1,1,1,"Female and male householder, Family household; Percent"
Demographics,Nonfamily households,HH_Nonfamily,"U.S. Census Bureau - S1101, Black: B11001B, White: B11001A",HHNONFAM,P,H,1,1,1,Nonfamily household; Percent
Demographics,Single households with minors,HH_W.MinorsFamily,U.S. Census Bureau - S2201,HHMSINGLE,P,H,1,0,0,"Female and male single householder, family household, households with one or more people under 18 years old; Percent"
Demographics,nonfamily households with minors,HH_W.MinorsNonfamily,U.S. Census Bureau - S2201,HHMNONFAM,P,H,0,0,0,"Nonfamily household; Percent, households with one or more people under 18 years old"
Demographics,single households with seniors,HH_Family_W/Seniors,U.S. Census Bureau - S1101,HHSSINGLE,P,H,1,0,0,"Female and male single householder, family household, households with one or more people 60 years and over; Percent"
Demographics,nonfamily households with seniors,HH_W/Seniors_Nonfamily,U.S. Census Bureau - S1101,HHSNONFAM,P,H,0,0,0,"Nonfamily household; Percent, households with one or more people 60 years and over"
Demographics,single households with own minors,HH_Family_W.OwnMinors,U.S. Census Bureau - S1101,HHOMSINGLE,P,H,1,0,0,"Female and male single householder, family household, households with own children of the householder under 18 years old"
Demographics,single households without minors,HH_NoMinorsFamily,U.S. Census Bureau - S2201,HHNMSINGLE,P,H,1,0,0,"Female and male single householder; Percent, family household, households with any under 18 years old"
Demographics,nonfamily households without minors,HH_NoMinorsNonfamily,U.S. Census Bureau - S2201,HHNMNONFAM,P,H,0,0,0,"Nonfamily household; Percent, households without any under 18 years old"
Education,People with schooling,Pop_Education,"U.S. Census Bureau - General: B15002, Black: C15002B, White, C15002A",EDU,P,I,1,1,1,Estimate; Total; - some schooling
Education,Educational Level Less Than High School,Less_than_high_school_diploma,"U.S. Census Bureau - General: B15002, Black: C15002B, White, C15002A",EDULTHS,P,I,1,1,1,Estimate; Total; - less than 12th grade or no high school diploma or equivalency received
Education,Educational Level High School,High_school_graduate_(includes_equivalency),"U.S. Census Bureau - General: B15002, Black: C15002B, White, C15002A",EDUHS,P,I,1,1,1,Estimate; Total; - high school graduate (includes equivalency)
Education,Educational Level College,Some_college_or_associates_degree,"U.S. Census Bureau - General: B15002, Black: C15002B, White, C15002A",EDUC,P,I,1,1,1,Estimate; Total; - some college experience and associate's degree
Education,Educational Level Bachelor's Degree or Higher,Bachelors_degree_or_higher,"U.S. Census Bureau - General: B15002, Black: C15002B, White, C15002A",EDUB,P,I,1,1,1,"Estimate; Total; - Bachelor's degree or higher (includes Master's, Professional school, and Doctorate degrees)"
Income,People with Income Above Poverty,IAP,"U.S. Census Bureau - General: B17001, Black: B17001B, White: B17001A",IAP,P,I,1,1,1,Estimate; Income in the past 12 months at or above poverty level:
Income,People with Income Below Poverty,IBP,"U.S. Census Bureau - General: B17001, Black: B17001B, White: B17001A",IBP,P,I,1,1,1,Estimate; Income in the past 12 months below poverty level:
Income,Median Earnings,Median_Earnings,"U.S. Census Bureau - General: B20017, Black: B22017B, White: B22017A",ME,E,I,1,1,1,Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Total (dollars):
Income,Median Earnings - Full Time,FT_Median_Earnings,"U.S. Census Bureau - General: B20017, Black: B22017B, White: B22017A",MEFT,E,I,1,1,1,"Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Worked full-time, year-round in the past 12 mongths (dollars)"
Income,Median Earnings - Not Full Time,Other_Median_Earnings,"U.S. Census Bureau - General: B20017, Black: B22017B, White: B22017A",MENFT,E,I,1,1,1,Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Other (dollars)
Income,Gender Wage Gap,GenderWageGap,U.S. Census Bureau - S2413,PGAP,P,I,0,0,0,Women's earnings as a percentage of men's earning; Estimate; Civilian employed population 16 years and over with earnings
Health,Health Insurance,HealthInsurance,"U.S. Census Bureau - General: B27001, Black: C27001B, White: C27001A",HI,P,I,1,1,0,Percent; both male and female with health insurance coverage
