Id2,Geography,IBP_Men,IBP_Children,IBP_Women,IAP_Men,IAP_Children,IAP_Women,Percent_IBP_Men,Percent_IAP_Men,Percent_IBP_Women,Percent_IAP_Women,Percent_IBP_Children,Percent_IAP_Children,Total_Population,Male,Female,Women,Men,Boys,Girls,Children,Percent_Female,Percent_Male,Percent_Women,Percent_Men,Percent_Boys,Percent_Girls,Total_Pop_Education,Male_Pop_Education,Male_Less_than_high_school_diploma,Male_High_school_graduate_(includes_equivalency),Male_Some_college_or_associates_degree,Male_Bachelors_degree_or_higher,Female_Pop_Education,Female_Less_than_high_school_diploma,Female_High_school_graduate_(includes_equivalency),Female_Some_college_or_associates_degree,Female_Bachelors_degree_or_higher,P_Male_Less_than_high_school_diploma,P_Male_High_school_graduate_(includes_equivalency),P_Male_Some_college_or_associates_degree,P_Male_Bachelors_degree_or_higher,P_Female_Less_than_high_school_diploma,P_Female_High_school_graduate_(includes_equivalency),P_Female_Some_college_or_associates_degree,P_Female_Bachelors_degree_or_higher,P_NoHealthInsurance,P_18to64_NoHealthInsurance,Total_Median_Earnings,Male_Median_Earnings,Male_FT_Median_Earnings,Male_Other_Median_Earnings,Female_Median_Earnings,Female_FT_Median_Earnings,Female_Other_Median_Earnings,Female_Unemployment_Rate,Male_Unemployment_Rate
28001,"Adams County, Mississippi",1255,2964,2460,3942,1525,4455,0.241485472,0.758514528,0.355748373,0.644251627,0.660280686,0.339719314,17056,7818,9238,7011,5533,2285,1620,3905,0.54162758,0.45837242,0.558912628,0.441087372,0.585147247,0.414852753,10856,4750,1272,1959,1020,499,6106,1180,1776,1935,1215,0.267789474,0.412421053,0.214736842,0.105052632,0.193252538,0.290861448,0.316901408,0.198984605,0.169073406,0.253933038,19959,20329,27300,9059,19675,26994,9168,0.130469799,0.167271408
28003,"Alcorn County, Mississippi",444,345,556,979,548,1155,0.312016866,0.687983134,0.324956166,0.675043834,0.386338186,0.613661814,4310,2147,2163,1739,1555,592,474,1066,0.501856148,0.498143852,0.527929569,0.472070431,0.555347092,0.444652908,2723,1218,346,477,347,48,1505,276,555,418,256,0.28407225,0.391625616,0.284893268,0.039408867,0.183388704,0.368770764,0.277740864,0.170099668,0.224648229,0.337832908,16943,20774,35640,10460,15075,25487,10308,0.08930008,0.240373396
28005,"Amite County, Mississippi",602,597,906,1262,698,1219,0.322961373,0.677038627,0.426352941,0.573647059,0.461003861,0.538996139,5332,2547,2785,2138,1899,648,445,1093,0.52231808,0.47768192,0.529601189,0.470398811,0.592863678,0.407136322,3792,1761,506,784,313,158,2031,642,610,513,266,0.28733674,0.44520159,0.17773992,0.089721749,0.316100443,0.300344658,0.252584934,0.130969966,0.121877366,0.197401774,16171,30947,32621,3634,14018,17283,7021,0.143595041,0.139886578
28007,"Attala County, Mississippi",766,1159,1329,1694,1209,1925,0.311382114,0.688617886,0.408420406,0.591579594,0.489442568,0.510557432,8169,3620,4549,3271,2522,1098,862,1960,0.556861305,0.443138695,0.564646988,0.435353012,0.560204082,0.439795918,4944,2049,869,664,416,100,2895,944,680,978,293,0.424109322,0.324060517,0.203025866,0.048804295,0.326079447,0.234887737,0.337823834,0.101208981,0.163863468,0.264320961,16520,19786,29375,7235,13482,24286,7805,0.210960519,0.146421536
28009,"Benton County, Mississippi",436,248,318,666,572,824,0.395644283,0.604355717,0.278458844,0.721541156,0.302439024,0.697560976,3098,1561,1537,1156,1122,439,266,705,0.496126533,0.503873467,0.507462687,0.492537313,0.622695035,0.377304965,2017,889,299,343,156,91,1128,201,435,364,128,0.336332958,0.385826772,0.175478065,0.102362205,0.178191489,0.385638298,0.322695035,0.113475177,0.233028721,0.286237572,25094,26375,40177,8761,21304,24958,12338,0.082142857,0.178294574
28011,"Bolivar County, Mississippi",2267,3682,3735,4083,2378,4644,0.357007874,0.642992126,0.44575725,0.55424275,0.607590759,0.392409241,21634,9834,11800,8716,6803,3031,2593,5624,0.545437737,0.454562263,0.561634126,0.438365874,0.538940256,0.461059744,13008,5613,1988,1622,1490,513,7395,2034,1859,2332,1170,0.354177802,0.288972029,0.265455193,0.091394976,0.27505071,0.251386072,0.315348208,0.15821501,0.190792887,0.287514586,18652,20648,27113,8008,17227,24818,6875,0.204395604,0.238108256
28013,"Calhoun County, Mississippi",298,559,605,980,440,1058,0.233176839,0.766823161,0.363800361,0.636199639,0.55955956,0.44044044,4006,1766,2240,1679,1309,457,542,999,0.559161258,0.440838742,0.561914324,0.438085676,0.457457457,0.542542543,2557,1105,368,475,211,51,1452,399,491,475,87,0.333031674,0.429864253,0.190950226,0.046153846,0.274793388,0.33815427,0.327134986,0.059917355,0.120859671,0.177697553,17901,17885,27466,9547,17904,23556,6990,0.143312102,0.166666667
28015,"Carroll County, Mississippi",289,410,477,924,412,808,0.238252267,0.761747733,0.371206226,0.628793774,0.498783455,0.501216545,3444,1716,1728,1300,1299,417,428,845,0.50174216,0.49825784,0.500192382,0.499807618,0.493491124,0.506508876,2148,1062,452,489,101,20,1086,236,447,244,159,0.425612053,0.460451977,0.095103578,0.018832392,0.217311234,0.41160221,0.224677716,0.14640884,0.154790419,0.243533431,16456,30643,,5116,14375,17242,7940,0.160161507,0.111650485
28017,"Chickasaw County, Mississippi",589,1223,982,1725,901,1924,0.254537597,0.745462403,0.337921542,0.662078458,0.575800377,0.424199623,7533,3513,4020,2940,2436,1077,901,1978,0.533651932,0.466348068,0.546875,0.453125,0.544489383,0.455510617,4531,1999,693,825,408,73,2532,694,900,729,209,0.346673337,0.412706353,0.204102051,0.036518259,0.274091627,0.355450237,0.287914692,0.082543444,0.163909978,0.251283196,19898,22230,27722,14779,17594,25614,6189,0.166568222,0.211609111
28019,"Choctaw County, Mississippi",313,421,453,529,220,595,0.371733967,0.628266033,0.432251908,0.567748092,0.656786271,0.343213729,2613,1252,1361,1057,872,380,302,682,0.520857252,0.479142748,0.547952307,0.452047693,0.557184751,0.442815249,1624,751,229,346,159,17,873,212,255,362,44,0.304926764,0.460719041,0.21171771,0.022636485,0.242840779,0.29209622,0.414662085,0.050400916,0.114830673,0.175675676,16097,25169,26462,,13725,21250,,0.213080169,0.206266319
