Id2,Geography,Total_Median_Earnings,Male_Median_Earnings,Male_FT_Median_Earnings,Male_Other_Median_Earnings,Female_Median_Earnings,Female_FT_Median_Earnings,Female_Other_Median_Earnings,Female_Unemployment_Rate,Male_Unemployment_Rate,IBP_Men,IBP_Children,IBP_Women,IAP_Men,IAP_Children,IAP_Women,Percent_IBP_Men,Percent_IAP_Men,Percent_IBP_Women,Percent_IAP_Women,Percent_IBP_Children,Percent_IAP_Children,Total_Population,Male,Female,Women,Men,Boys,Girls,Children,Percent_Female,Percent_Male,Percent_Women,Percent_Men,Percent_Boys,Percent_Girls,Total_Pop_Education,Male_Pop_Education,Male_Less_than_high_school_diploma,Male_High_school_graduate_(includes_equivalency),Male_Some_college_or_associates_degree,Male_Bachelors_degree_or_higher,Female_Pop_Education,Female_Less_than_high_school_diploma,Female_High_school_graduate_(includes_equivalency),Female_Some_college_or_associates_degree,Female_Bachelors_degree_or_higher,P_Male_Less_than_high_school_diploma,P_Male_High_school_graduate_(includes_equivalency),P_Male_Some_college_or_associates_degree,P_Male_Bachelors_degree_or_higher,P_Female_Less_than_high_school_diploma,P_Female_High_school_graduate_(includes_equivalency),P_Female_Some_college_or_associates_degree,P_Female_Bachelors_degree_or_higher
28001,"Adams County, Mississippi",33222,38571,43060,9043,29293,35833,12244,0.038327526,0.053632043,540,610,820,4079,1804,4363,0.116908422,0.883091578,0.158209531,0.841790469,0.252692626,0.747307374,13522,7058,6464,5264,5818,1240,823,2063,0.478035794,0.521964206,0.475004512,0.524995488,0.601066408,0.398933592,10332,5425,978,1893,1615,939,4907,439,1570,1580,1318,0.180276498,0.348940092,0.297695853,0.173087558,0.089464031,0.31995109,0.321988995,0.268595883
28003,"Alcorn County, Mississippi",26918,30805,38086,7393,22761,31753,10714,0.058427704,0.072416493,1489,1690,2201,10080,5327,10437,0.128706025,0.871293975,0.174157303,0.825842697,0.240843665,0.759156335,31596,15465,16131,12718,11714,3751,2623,6374,0.510539309,0.489460691,0.520546824,0.479453176,0.588484468,0.411515532,22007,10466,1873,3816,3020,1757,11541,2039,3813,3609,2080,0.178960443,0.364609211,0.288553411,0.167876935,0.176674465,0.330387315,0.312711204,0.180227017
28005,"Amite County, Mississippi",25101,31176,40714,11591,20860,26406,4835,0.083519761,0.079545455,406,463,538,2454,930,2457,0.141958042,0.858041958,0.179632721,0.820367279,0.332376167,0.667623833,7312,3731,3581,3029,2885,846,513,1359,0.489742888,0.510257112,0.512174501,0.487825499,0.622516556,0.377483444,5422,2656,556,1120,715,265,2766,457,1005,875,429,0.209337349,0.421686747,0.269201807,0.099774096,0.165220535,0.363340564,0.316341287,0.155097614
28007,"Attala County, Mississippi",29073,37009,48360,11552,19083,31239,5646,0.049076212,0.067994803,286,295,580,3524,1965,3601,0.075065617,0.924934383,0.138722794,0.861277206,0.130530973,0.869469027,10489,5117,5372,4248,3955,1162,837,1999,0.512155592,0.487844408,0.51785932,0.48214068,0.581290645,0.418709355,7478,3563,694,1105,1156,608,3915,343,1308,1472,792,0.19477968,0.310131911,0.324445692,0.170642717,0.08761175,0.334099617,0.375989783,0.202298851
28009,"Benton County, Mississippi",33298,40132,41132,22258,21167,29533,6399,0.111707841,0.138256088,352,107,378,1628,945,1667,0.177777778,0.822222222,0.184841076,0.815158924,0.101711027,0.898288973,5116,2552,2564,2071,1993,559,526,1085,0.501172791,0.498827209,0.509596457,0.490403543,0.515207373,0.484792627,3609,1797,409,717,479,192,1812,402,604,561,245,0.227601558,0.398998331,0.26655537,0.106844741,0.221854305,0.333333333,0.309602649,0.135209713
28011,"Bolivar County, Mississippi",30599,41078,49576,7818,20995,35778,6494,0.019329897,0.041441441,544,424,893,3457,1638,3346,0.135966008,0.864033992,0.210662892,0.789337108,0.205625606,0.794374394,11054,5419,5635,4615,4354,1065,1116,2181,0.509770219,0.490229781,0.514550117,0.485449883,0.488308116,0.511691884,7680,3728,606,892,969,1261,3952,423,976,1100,1453,0.162553648,0.239270386,0.259924893,0.338251073,0.107034413,0.246963563,0.278340081,0.367661943
28013,"Calhoun County, Mississippi",26283,32463,40876,13542,21347,30118,10824,0.10629515,0.051565378,506,566,870,3116,1493,3180,0.139701822,0.860298178,0.214814815,0.785185185,0.274890724,0.725109276,9939,4829,5110,4119,3669,1160,821,1981,0.514136231,0.485863769,0.528890601,0.471109399,0.585562847,0.414437153,7090,3323,876,1093,957,397,3767,710,1272,1241,544,0.263617213,0.328919651,0.287992778,0.119470358,0.188478896,0.337669233,0.329439873,0.144411999
28015,"Carroll County, Mississippi",36545,39448,52926,2500,35298,36578,,0.050743657,0.057537399,108,85,345,2630,1110,2353,0.03944485,0.96055515,0.127872498,0.872127502,0.071129707,0.928870293,6685,3423,3262,2724,2766,657,493,1150,0.487958115,0.512041885,0.496174863,0.503825137,0.571304348,0.428695652,4996,2514,524,750,823,417,2482,182,912,863,525,0.208432776,0.298329356,0.327366746,0.165871122,0.073327961,0.367445608,0.347703465,0.211522965
28017,"Chickasaw County, Mississippi",26291,32102,35847,21593,20573,27259,8003,0.06292517,0.046894282,359,655,796,3205,1441,2857,0.100729517,0.899270483,0.217903093,0.782096907,0.3125,0.6875,9441,4679,4762,3711,3634,1045,864,1909,0.504395721,0.495604279,0.505241661,0.494758339,0.547407019,0.452592981,6546,3177,780,1192,723,482,3369,833,1254,872,410,0.245514636,0.375196726,0.227573182,0.151715455,0.247254378,0.372217275,0.258830514,0.121697833
28019,"Choctaw County, Mississippi",30335,34651,37813,9338,25313,32660,8068,0.109756098,0.09978308,181,248,351,1932,920,1916,0.085660199,0.914339801,0.154830172,0.845169828,0.212328767,0.787671233,5637,2747,2890,2277,2141,606,489,1095,0.512684052,0.487315948,0.51539158,0.48460842,0.553424658,0.446575342,4028,1946,382,771,486,307,2082,222,679,691,490,0.196300103,0.396197328,0.249743063,0.157759507,0.106628242,0.326128722,0.331892411,0.235350624
